index,São Paulo,Porto Alegre,Rio de Janeiro,Campinas,Belo Horizonte,area,rooms,bathroom,parking spaces,floor,isHouse,animal,furniture,y con + alu
4294,0,0,0,0,1,20,1,1,0,1,0,0,0,500
5152,1,0,0,0,0,35,1,1,0,1,1,0,0,500
8183,0,1,0,0,0,30,1,1,0,1,1,0,0,500
10218,0,0,0,0,1,25,1,1,1,1,0,0,0,500
9317,0,0,1,0,0,30,1,1,1,3,0,1,0,500
4868,0,0,0,0,1,30,1,1,0,2,0,1,0,525
4950,0,1,0,0,0,60,2,1,1,1,1,1,0,540
1990,0,1,0,0,0,24,1,1,1,1,1,0,0,550
1847,0,0,0,0,1,30,1,1,0,2,0,0,0,550
2121,0,1,0,0,0,25,1,1,0,1,1,0,0,550
3388,1,0,0,0,0,20,1,1,0,1,1,1,0,550
8854,0,0,0,0,1,24,1,1,1,1,1,0,0,550
5027,0,0,1,0,0,20,1,1,0,2,0,1,0,600
614,1,0,0,0,0,40,1,1,0,1,1,0,0,600
10383,0,0,1,0,0,25,1,1,0,4,0,1,0,600
325,0,1,0,0,0,28,2,1,1,1,1,1,0,600
4636,0,0,1,0,0,25,1,1,0,4,0,1,0,600
1316,1,0,0,0,0,40,1,1,0,1,1,1,0,650
9448,1,0,0,0,0,40,1,1,0,1,1,0,0,650
3839,0,0,0,0,1,25,1,1,0,2,0,0,0,650
6135,1,0,0,0,0,30,1,1,0,1,1,0,0,650
6620,0,0,0,0,1,16,1,1,0,1,0,0,0,650
8016,0,0,0,0,1,30,1,1,0,1,0,0,0,650
6629,0,1,0,0,0,60,2,1,0,1,1,1,0,650
4611,0,1,0,0,0,50,1,1,0,1,0,1,0,650
737,0,0,1,0,0,25,1,1,0,1,1,0,0,660
6210,0,0,0,1,0,42,1,1,0,1,0,1,0,690
6719,1,0,0,0,0,50,1,1,0,1,1,1,0,690
7476,1,0,0,0,0,30,1,1,0,1,1,0,0,700
6051,0,0,0,1,0,45,1,1,0,1,1,0,0,700
8502,1,0,0,0,0,40,1,1,0,1,1,0,0,700
6703,0,0,0,0,1,73,1,1,0,4,0,1,0,700
9087,0,0,1,0,0,15,1,1,0,1,1,1,0,700
7843,0,0,0,0,1,30,1,1,0,1,1,0,0,700
9872,0,0,1,0,0,15,1,1,0,1,1,1,0,700
9431,0,1,0,0,0,28,1,1,0,4,0,1,0,700
4850,1,0,0,0,0,50,1,1,0,1,1,1,0,700
3383,0,0,1,0,0,15,1,1,0,1,1,1,0,700
6282,1,0,0,0,0,35,1,1,0,1,1,1,0,700
5274,0,0,1,0,0,15,1,1,0,1,1,1,0,700
6234,1,0,0,0,0,50,1,1,0,1,1,1,0,700
2124,0,0,1,0,0,20,1,1,0,1,1,1,0,700
7442,0,0,0,0,1,35,1,1,1,1,0,0,0,700
6184,0,0,0,0,1,22,1,1,0,1,0,0,1,700
8015,0,0,1,0,0,15,1,1,0,1,1,1,0,700
5818,0,1,0,0,0,55,3,1,0,1,1,0,0,720
1505,0,0,1,0,0,25,1,1,0,1,1,1,0,750
1356,1,0,0,0,0,35,1,1,0,1,1,0,0,750
7553,0,0,1,0,0,15,1,1,0,1,1,1,0,750
960,0,0,1,0,0,25,1,1,0,1,0,1,0,750
9541,0,0,0,0,1,50,2,1,0,1,1,0,0,750
2334,0,0,1,0,0,25,1,1,0,1,0,1,0,750
4242,1,0,0,0,0,22,1,1,0,1,1,0,0,750
2918,1,0,0,0,0,50,1,1,0,1,1,0,0,750
6415,1,0,0,0,0,40,1,1,0,1,1,0,0,750
2382,1,0,0,0,0,50,1,1,0,1,1,0,0,750
1935,1,0,0,0,0,30,1,1,0,1,1,1,0,750
1028,0,0,1,0,0,35,1,1,0,1,1,1,0,750
3702,0,0,1,0,0,20,1,1,0,1,1,0,0,750
9678,1,0,0,0,0,50,1,1,0,1,1,0,0,750
6033,0,0,1,0,0,25,1,1,0,1,1,1,0,750
8075,0,0,1,0,0,15,1,1,0,1,1,1,0,750
5137,0,0,1,0,0,25,1,1,0,1,0,1,0,750
6702,0,1,0,0,0,40,1,1,0,1,1,0,0,750
7503,1,0,0,0,0,22,1,1,0,1,1,0,0,750
9789,1,0,0,0,0,50,1,1,0,1,1,0,0,750
216,0,0,1,0,0,25,1,1,0,1,1,1,0,750
9750,0,0,0,0,1,50,1,1,0,1,0,1,0,750
8055,0,0,1,0,0,25,1,1,0,1,1,1,0,750
3297,0,1,0,0,0,30,1,1,1,1,1,1,0,762
185,0,1,0,0,0,36,1,1,1,1,1,1,0,762
3451,0,0,0,1,0,45,1,1,0,1,0,1,0,770
605,0,0,0,0,1,100,2,1,0,1,1,1,0,777
4910,1,0,0,0,0,40,1,1,0,1,1,0,0,780
8070,0,0,0,1,0,30,1,1,0,15,0,1,0,780
2848,1,0,0,0,0,40,1,1,0,1,1,0,0,780
5771,1,0,0,0,0,40,1,1,0,1,1,0,0,780
9467,1,0,0,0,0,25,1,1,0,2,0,0,0,780
1307,1,0,0,0,0,40,1,1,0,1,1,0,0,780
8531,1,0,0,0,0,45,1,1,0,2,0,0,0,780
232,1,0,0,0,0,40,1,1,0,1,1,0,0,780
1989,1,0,0,0,0,20,1,1,0,1,1,0,0,790
8862,0,0,0,0,1,55,2,1,1,4,0,1,0,790
6167,0,0,1,0,0,25,1,1,0,2,0,1,0,790
2476,1,0,0,0,0,50,1,1,0,1,1,1,0,800
922,0,0,0,1,0,53,2,1,1,1,0,1,0,800
2341,0,1,0,0,0,50,2,1,0,1,1,1,0,800
3122,0,0,0,1,0,36,1,1,0,4,0,0,0,800
2169,1,0,0,0,0,50,1,1,0,1,1,0,0,800
4855,0,0,0,0,1,70,1,1,0,1,1,1,0,800
4426,0,0,0,1,0,50,2,1,1,1,0,1,0,800
8938,0,1,0,0,0,48,2,1,0,1,0,1,0,800
7683,1,0,0,0,0,50,1,1,0,1,0,1,0,800
4,1,0,0,0,0,25,1,1,0,1,0,0,0,800
6346,0,0,0,1,0,60,2,1,0,1,1,0,0,800
1649,1,0,0,0,0,50,1,1,0,1,1,0,0,800
3858,1,0,0,0,0,50,1,1,0,1,1,1,0,810
7183,0,0,0,0,1,26,1,1,1,1,0,1,0,810
2547,0,0,0,0,1,26,1,1,1,1,0,1,0,810
5209,0,1,0,0,0,40,1,1,0,1,0,1,1,816
7067,0,1,0,0,0,44,1,1,0,4,0,1,1,820
7069,1,0,0,0,0,50,1,1,0,1,1,1,0,820
7502,0,1,0,0,0,40,1,1,0,1,0,1,0,828
10207,0,0,0,1,0,60,2,1,1,1,1,0,0,830
