,São Paulo,Porto Alegre,Rio de Janeiro,Campinas,Belo Horizonte,area,rooms,bathroom,parking spaces,floor,isHouse,animal,furniture,y con + alu
1964,0,0,0,1,0,134,3,3,2,7,0,0,0,3500
5267,0,0,1,0,0,80,2,1,1,10,0,0,0,2560
9630,0,0,0,1,0,80,2,2,1,8,0,1,1,2860
5503,0,0,0,0,1,90,3,2,1,2,0,1,0,1600
1683,1,0,0,0,0,300,4,2,0,5,0,1,0,21000
1983,1,0,0,0,0,60,2,1,0,1,1,1,0,1611
1056,1,0,0,0,0,345,3,3,5,2,0,1,0,15750
6224,1,0,0,0,0,70,3,2,1,3,0,1,0,1670
1732,0,0,0,1,0,170,4,3,1,10,0,0,0,5170
7934,1,0,0,0,0,70,2,2,1,2,0,1,0,2665
3857,0,1,0,0,0,47,1,1,1,1,0,0,1,2600
303,1,0,0,0,0,56,1,1,0,9,0,1,1,3125
5391,1,0,0,0,0,134,3,3,1,4,0,1,0,4700
7381,0,0,1,0,0,86,3,2,1,9,0,1,0,3995
8902,0,0,0,1,0,100,3,2,2,3,0,1,0,2085
5556,0,0,0,0,1,140,4,3,2,3,0,1,0,3022
6179,1,0,0,0,0,50,1,1,1,1,1,0,0,1200
5884,1,0,0,0,0,260,4,4,4,4,0,1,0,18247
4521,0,0,0,1,0,105,2,1,1,5,0,1,0,2300
5363,1,0,0,0,0,73,3,2,2,14,0,1,0,3070
5983,1,0,0,0,0,420,4,4,4,9,0,1,0,21000
9343,0,0,0,1,0,30,1,1,0,1,0,0,0,1170
747,0,0,1,0,0,70,2,2,1,9,0,1,0,5200
2908,0,1,0,0,0,64,2,1,1,4,0,1,0,1580
5529,1,0,0,0,0,81,3,2,1,12,0,1,0,2280
1669,1,0,0,0,0,108,2,3,2,1,1,1,0,2550
533,1,0,0,0,0,97,2,2,0,1,0,1,0,6800
608,1,0,0,0,0,200,2,3,2,1,0,1,1,16700
4317,0,0,0,1,0,200,5,2,4,1,1,1,0,3200
10573,1,0,0,0,0,130,3,4,2,8,0,1,1,6800
1805,0,0,0,0,1,72,2,2,1,1,1,1,0,1250
2955,1,0,0,0,0,280,3,3,2,1,1,1,0,8000
6377,1,0,0,0,0,250,3,4,3,1,1,1,0,3571
6622,0,1,0,0,0,83,3,2,1,11,0,1,0,3250
1501,0,1,0,0,0,225,3,3,2,3,0,1,0,4900
5981,1,0,0,0,0,209,4,4,5,10,0,1,1,13790
7433,0,1,0,0,0,457,6,6,2,1,1,1,1,8500
4742,1,0,0,0,0,400,6,4,3,1,1,1,0,3999
8391,1,0,0,0,0,210,3,4,0,1,1,1,1,4200
7774,0,1,0,0,0,90,2,1,1,1,0,1,0,1090
4480,1,0,0,0,0,56,3,1,0,11,0,1,1,2196
2245,1,0,0,0,0,136,3,4,3,7,0,1,0,6400
4265,0,0,0,0,1,33,1,1,1,3,0,1,0,1770
3739,0,0,0,1,0,70,3,1,1,6,0,1,0,1749
9432,1,0,0,0,0,249,4,4,3,1,1,1,0,6800
4704,0,0,1,0,0,187,2,3,3,14,0,1,0,4700
10302,0,0,0,0,1,40,2,1,0,11,0,0,0,1430
4379,0,0,0,1,0,55,1,1,1,6,0,1,0,1340
518,1,0,0,0,0,230,2,3,3,17,0,1,1,10575
1090,0,0,1,0,0,58,2,1,1,9,0,1,0,3173
6223,1,0,0,0,0,321,3,5,2,1,1,1,1,7318
1870,1,0,0,0,0,156,2,3,2,8,0,1,1,15630
33,0,0,1,0,0,45,1,1,1,10,0,1,1,4950
9342,0,0,0,0,1,136,4,3,3,9,0,1,0,5140
1330,0,0,1,0,0,90,3,3,1,5,0,1,0,2511
6234,1,0,0,0,0,50,1,1,0,1,1,1,0,700
10406,1,0,0,0,0,60,1,2,0,1,1,0,0,1600
1617,1,0,0,0,0,280,4,4,8,1,1,1,0,7040
7487,1,0,0,0,0,110,2,2,0,8,0,1,1,5531
