,São Paulo,Porto Alegre,Rio de Janeiro,Campinas,Belo Horizonte,area,rooms,bathroom,parking spaces,floor,isHouse,animal,furniture,y con + alu
1787,0,0,1,0,0,160,4,2,1,2,0,1,0,5730
9140,0,1,0,0,0,300,8,3,0,1,1,1,0,5100
8546,0,0,0,0,1,70,3,1,1,4,0,1,0,1340
2316,1,0,0,0,0,58,2,1,1,3,0,1,1,1883
4490,1,0,0,0,0,80,2,1,0,1,1,0,0,1400
6117,0,0,1,0,0,100,3,2,1,7,0,0,0,4100
1208,1,0,0,0,0,450,3,3,1,1,1,1,0,7625
1114,1,0,0,0,0,450,4,5,7,1,1,1,1,12000
5221,0,1,0,0,0,31,1,1,0,4,0,1,0,836
221,1,0,0,0,0,145,3,3,2,1,0,1,1,6888
1580,0,0,0,0,1,312,4,5,4,15,0,1,0,18150
7622,1,0,0,0,0,36,1,1,2,11,0,0,1,3517
6620,0,0,0,0,1,16,1,1,0,1,0,0,0,650
5158,0,0,1,0,0,120,3,3,1,3,0,1,0,4760
6531,1,0,0,0,0,380,4,1,2,1,1,0,0,4000
8945,0,1,0,0,0,50,2,1,0,18,0,1,0,1800
7878,1,0,0,0,0,75,1,1,2,2,0,1,0,2960
5200,0,1,0,0,0,200,2,3,2,12,0,1,1,14550
2579,1,0,0,0,0,49,2,2,1,8,0,1,0,3032
8687,1,0,0,0,0,129,4,2,3,2,0,1,1,6600
7738,0,0,1,0,0,230,3,3,2,3,0,1,0,11100
1093,1,0,0,0,0,220,3,4,3,16,0,1,1,9500
9670,1,0,0,0,0,42,1,1,1,7,0,0,1,3543
10304,0,1,0,0,0,115,3,3,1,6,0,1,0,3700
2590,0,0,1,0,0,28,1,1,0,4,0,1,1,2684
2209,0,0,0,0,1,217,4,3,4,12,0,1,0,8644
6423,0,1,0,0,0,98,3,1,0,1,0,0,0,12990
9911,1,0,0,0,0,400,4,3,2,1,1,1,0,5650
4989,1,0,0,0,0,186,3,2,2,5,0,1,0,3673
2514,0,0,1,0,0,300,4,3,2,1,0,1,0,7000
8116,1,0,0,0,0,45,1,1,0,11,0,1,0,1775
7455,1,0,0,0,0,49,2,1,1,6,0,1,0,2377
522,1,0,0,0,0,147,2,3,4,19,0,1,0,3800
3652,0,0,0,0,1,120,3,3,1,2,0,1,0,2200
6702,0,1,0,0,0,40,1,1,0,1,1,0,0,750
9569,1,0,0,0,0,65,2,2,1,1,0,1,0,2943
6995,1,0,0,0,0,420,3,6,4,1,1,0,0,6500
6084,1,0,0,0,0,50,2,1,2,1,0,0,0,2750
5916,0,0,0,0,1,344,4,4,3,1,1,0,0,3500
3509,0,0,1,0,0,60,2,1,0,6,0,0,1,2498
337,0,0,0,1,0,600,3,3,4,1,1,1,0,5500
2400,0,0,0,0,1,21,1,1,1,2,0,0,0,1980
969,1,0,0,0,0,78,1,2,1,10,0,0,0,3340
