,modelo,parametros,rmse,nlpd,fold,rmse_dimensao_original
0,BayesianLinearRegression,"{'alphaInit': 1.075028358347298, 'lambdaInit': 0.21599519627439365}",0.030069896555281313,-0.963854377059222,0,3060.451691682204
1,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1e-07}",0.03006989708411794,-0.9638545222681377,0,3060.4517367126427
2,BayesianLinearRegression,"{'alphaInit': 0.5172475830573504, 'lambdaInit': 1e-07}",0.030069897084118034,-0.9638545222681638,0,3060.451736712651
3,BayesianLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 1e-07}",0.03006989708411794,-0.9638545222681377,0,3060.4517367126427
4,BayesianLinearRegression,"{'alphaInit': 0.05241379811232485, 'lambdaInit': 0.4823798856032715}",0.03006989900301935,-0.9638550497300887,0,3060.451900107098
5,BayesianPolinomialLinearRegression,"{'alphaInit': 0.5098674900295015, 'lambdaInit': 0.9699904743518273, 'order': 3.0}",0.02843514258040208,-0.7919314853761317,0,2921.252390721237
6,BayesianPolinomialLinearRegression,"{'alphaInit': 0.8851157924622636, 'lambdaInit': 0.861204991782009, 'order': 5.0}",0.028100763774697855,-0.7003128837014531,0,2892.7800354155224
7,BayesianPolinomialLinearRegression,"{'alphaInit': 1.1, 'lambdaInit': 0.0001, 'order': 2.0}",0.029583563214555485,-0.9174587098416966,0,3019.0404077194
8,BayesianPolinomialLinearRegression,"{'alphaInit': 0.7680947916667301, 'lambdaInit': 0.007854780354192053, 'order': 3.0}",0.02843514258545914,-0.7919314867902096,0,2921.252391151846
9,BayesianPolinomialLinearRegression,"{'alphaInit': 0.4010240704066884, 'lambdaInit': 0.49292331582339594, 'order': 3.0}",0.028435142626378418,-0.7919314982160388,0,2921.2523946361225
10,RBFLinearRegression,"{'sig2_error': 0.4212732393366898, 'mean_rbf_arbitrario': -0.7112585167820633, 'lambda_rbf_arbitrario': 0.4341814997511018}",0.03282408089303201,1.1813974025689449,0,3294.9704880416757
11,RBFLinearRegression,"{'sig2_error': 0.955872538720677, 'mean_rbf_arbitrario': -0.9288446897107183, 'lambda_rbf_arbitrario': 0.12148698573867978}",0.03084480997170624,1.5905927545215055,0,3126.435569090786
12,RBFLinearRegression,"{'sig2_error': 0.500580081386434, 'mean_rbf_arbitrario': -0.4552780525220377, 'lambda_rbf_arbitrario': 0.028959093537562583}",0.031392397750535844,1.2675844594727856,0,3173.062668458127
13,RBFLinearRegression,"{'sig2_error': 0.9025536494116773, 'mean_rbf_arbitrario': -0.9286455510493243, 'lambda_rbf_arbitrario': 0.20395723820527156}",0.0314187004955652,1.5619044626853862,0,3175.302347197377
14,RBFLinearRegression,"{'sig2_error': 0.36851849229618255, 'mean_rbf_arbitrario': -0.9671270261650455, 'lambda_rbf_arbitrario': 0.011907827138995108}",0.03136124003550808,1.1148020854491498,0,3170.409589023513
15,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
16,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
17,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
18,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
19,RegressaoLinear,{},0.030063801653975215,4.519160849447813e+56,0,3059.93271083599
