,modelo,parametros,rmse,nlpd,mape,fold,tentativa
0,BayesianLinearRegressionNew,{'sig2_error': 0.09767353390633031},1059.4048148657687,16.992298328796597,1.2243458678397325,0,0.0
1,BayesianLinearRegressionNew,{'sig2_error': 0.09767353390633031},1531.8593760231136,17.094804176418556,0.40329631615197997,1,0.0
2,BayesianLinearRegressionNew,{'sig2_error': 0.09767353390633031},1753.9169046282136,17.171023978599237,0.30514908212898995,2,0.0
3,BayesianLinearRegressionNew,{'sig2_error': 0.09767353390633031},2657.3063470401767,17.18607477202687,0.2987881080380814,3,0.0
4,BayesianLinearRegressionNew,{'sig2_error': 0.09767353390633031},6441.119421804439,15.214733617021757,1.069265243221395,4,0.0
5,BayesianLinearRegressionNew,{'sig2_error': 0.07191254451326942},1059.4003886927346,16.839208383609854,1.2278066403129202,0,1.0
6,BayesianLinearRegressionNew,{'sig2_error': 0.07191254451326942},1531.844555127901,16.94171423170465,0.4033211256882771,1,1.0
7,BayesianLinearRegressionNew,{'sig2_error': 0.07191254451326942},1753.904798198411,17.017934035615156,0.30514895919462937,2,1.0
8,BayesianLinearRegressionNew,{'sig2_error': 0.07191254451326942},2657.3052470547755,17.032984837032686,0.2987904899929594,3,1.0
9,BayesianLinearRegressionNew,{'sig2_error': 0.07191254451326942},6441.119718562096,15.06164651997732,1.0692660873021493,4,1.0
10,BayesianLinearRegressionNew,{'sig2_error': 0.037898284366943154},1059.39454544558,16.518935962185207,1.2325299724517607,0,2.0
11,BayesianLinearRegressionNew,{'sig2_error': 0.037898284366943154},1531.824986025617,16.62144181447379,0.403353945104684,1,2.0
12,BayesianLinearRegressionNew,{'sig2_error': 0.037898284366943154},1753.8888132143957,16.697661621300863,0.30514879751516755,2,2.0
13,BayesianLinearRegressionNew,{'sig2_error': 0.037898284366943154},2657.3037949961304,16.712712443821292,0.29879363527975833,3,2.0
14,BayesianLinearRegressionNew,{'sig2_error': 0.037898284366943154},6441.120110386691,14.741383776176125,1.0692672018235507,4,2.0
15,BayesianLinearRegressionNew,{'sig2_error': 0.0021262252907048073},1059.3884013979043,15.078657429217069,1.2376950762572017,0,3.0
16,BayesianLinearRegressionNew,{'sig2_error': 0.0021262252907048073},1531.8044057935283,15.181163529929634,0.4033885359260429,1,3.0
17,BayesianLinearRegressionNew,{'sig2_error': 0.0021262252907048073},1753.872002248638,15.257383367005087,0.3051486282757915,2,3.0
18,BayesianLinearRegressionNew,{'sig2_error': 0.0021262252907048073},2657.3022682221062,15.272434812245976,0.2987969433653059,3,3.0
19,BayesianLinearRegressionNew,{'sig2_error': 0.0021262252907048073},6441.120522483941,13.301449143813365,1.0692683739763296,4,3.0
20,BayesianLinearRegressionNew,{'sig2_error': 0.07540539568436438},1059.4009887875734,16.862922438326684,1.2273316261385148,0,4.0
21,BayesianLinearRegressionNew,{'sig2_error': 0.07540539568436438},1531.846564642117,16.965428286334845,0.40331775948232773,1,4.0
22,BayesianLinearRegressionNew,{'sig2_error': 0.07540539568436438},1753.906439668829,17.041648089869692,0.3051489758387037,2,4.0
23,BayesianLinearRegressionNew,{'sig2_error': 0.07540539568436438},2657.305396182771,17.0566988900437,0.29879016702306804,3,4.0
24,BayesianLinearRegressionNew,{'sig2_error': 0.07540539568436438},6441.119678324482,15.085360074676679,1.0692659728546716,4,4.0
25,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1059.3880496451034,12.396781215841964,1.2380022218395013,0,5.0
26,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1531.8031804382802,12.502497491600478,0.4033905550165246,1,5.0
27,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1753.8710116221835,12.58031341967562,0.30514862064911513,2,5.0
28,BayesianLinearRegressionNew,{'sig2_error': 1e-05},2657.302206374597,12.593437433369353,0.2987971444819521,3,5.0
29,BayesianLinearRegressionNew,{'sig2_error': 1e-05},6441.120574174423,10.702819550589922,1.0692684536821102,4,5.0
30,BayesianLinearRegressionNew,{'sig2_error': 0.0004492883340474104},1059.3881132794038,14.301438130153237,1.2379425703799587,0,6.0
31,BayesianLinearRegressionNew,{'sig2_error': 0.0004492883340474104},1531.8034409830914,14.40394810104442,0.4033901601243807,1,6.0
32,BayesianLinearRegressionNew,{'sig2_error': 0.0004492883340474104},1753.871214188131,14.48016522125865,0.30514862034430146,2,6.0
33,BayesianLinearRegressionNew,{'sig2_error': 0.0004492883340474104},2657.302197040707,14.495221592740734,0.29879709850696334,3,6.0
34,BayesianLinearRegressionNew,{'sig2_error': 0.0004492883340474104},6441.120541392101,12.525589590901111,1.0692684287751981,4,6.0
35,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1059.3880496451034,12.396781215841964,1.2380022218395013,0,7.0
36,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1531.8031804382802,12.502497491600478,0.4033905550165246,1,7.0
37,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1753.8710116221835,12.58031341967562,0.30514862064911513,2,7.0
38,BayesianLinearRegressionNew,{'sig2_error': 1e-05},2657.302206374597,12.593437433369353,0.2987971444819521,3,7.0
39,BayesianLinearRegressionNew,{'sig2_error': 1e-05},6441.120574174423,10.702819550589922,1.0692684536821102,4,7.0
40,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1059.3880496451034,12.396781215841964,1.2380022218395013,0,8.0
41,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1531.8031804382802,12.502497491600478,0.4033905550165246,1,8.0
42,BayesianLinearRegressionNew,{'sig2_error': 1e-05},1753.8710116221835,12.58031341967562,0.30514862064911513,2,8.0
43,BayesianLinearRegressionNew,{'sig2_error': 1e-05},2657.302206374597,12.593437433369353,0.2987971444819521,3,8.0
44,BayesianLinearRegressionNew,{'sig2_error': 1e-05},6441.120574174423,10.702819550589922,1.0692684536821102,4,8.0
