,modelo,parametros,rmse,nlpd,fold,tentativa
0,BayesianLinearRegressionNew,{'sig2_error': 0.7391787982952936},2574.1706778221114,18.12093831196613,0,0.0
1,BayesianLinearRegressionNew,{'sig2_error': 0.7391787982952936},2543.645282416234,18.110700938481703,1,0.0
2,BayesianLinearRegressionNew,{'sig2_error': 0.7391787982952936},3202.166011896505,18.05785070336391,2,0.0
3,BayesianLinearRegressionNew,{'sig2_error': 0.7391787982952936},2501.0098802751363,18.121565180474715,3,0.0
4,BayesianLinearRegressionNew,{'sig2_error': 0.7391787982952936},2639.326479892356,18.094579351813252,4,0.0
5,BayesianLinearRegressionNew,{'sig2_error': 0.8037190147632647},2574.1720094449283,18.162793235441313,0,1.0
6,BayesianLinearRegressionNew,{'sig2_error': 0.8037190147632647},2543.6439669883107,18.152555861708095,1,1.0
7,BayesianLinearRegressionNew,{'sig2_error': 0.8037190147632647},3202.165454389172,18.09970562695859,2,1.0
8,BayesianLinearRegressionNew,{'sig2_error': 0.8037190147632647},2501.0093422654027,18.163420104214776,3,1.0
9,BayesianLinearRegressionNew,{'sig2_error': 0.8037190147632647},2639.3269287956273,18.136434275272013,4,1.0
10,BayesianLinearRegressionNew,{'sig2_error': 0.9661256866621913},2574.1753647951864,18.254815292574015,0,2.0
11,BayesianLinearRegressionNew,{'sig2_error': 0.9661256866621913},2543.640661847744,18.244577918217846,1,2.0
12,BayesianLinearRegressionNew,{'sig2_error': 0.9661256866621913},3202.1640553214474,18.191727684527823,2,2.0
13,BayesianLinearRegressionNew,{'sig2_error': 0.9661256866621913},2501.0079939413877,18.25544216200289,3,2.0
14,BayesianLinearRegressionNew,{'sig2_error': 0.9661256866621913},2639.3280628647763,18.228456332382898,4,2.0
15,BayesianLinearRegressionNew,{'sig2_error': 0.9557190255323897},2574.175149598536,18.249400309375776,0,3.0
16,BayesianLinearRegressionNew,{'sig2_error': 0.9557190255323897},2543.640873421258,18.23916293505967,1,3.0
17,BayesianLinearRegressionNew,{'sig2_error': 0.9557190255323897},3202.164144806574,18.186312701297314,2,3.0
18,BayesianLinearRegressionNew,{'sig2_error': 0.9557190255323897},2501.0080801028544,18.250027178762558,3,3.0
19,BayesianLinearRegressionNew,{'sig2_error': 0.9557190255323897},2639.327990004555,18.223041349184452,4,3.0
20,BayesianLinearRegressionNew,{'sig2_error': 0.39269175288529823},2574.163546349158,17.80468097972877,0,4.0
21,BayesianLinearRegressionNew,{'sig2_error': 0.39269175288529823},2543.6523635001276,17.794443607567903,1,4.0
22,BayesianLinearRegressionNew,{'sig2_error': 0.39269175288529823},3202.169019677808,17.741593371779047,2,4.0
23,BayesianLinearRegressionNew,{'sig2_error': 0.39269175288529823},2501.0127898776186,17.805307846716268,3,4.0
24,BayesianLinearRegressionNew,{'sig2_error': 0.39269175288529823},2639.3240871930907,17.778322019849707,4,4.0
25,BayesianLinearRegressionNew,{'sig2_error': 1.0},2574.1760654566283,18.272045953794564,0,5.0
26,BayesianLinearRegressionNew,{'sig2_error': 1.0},2543.6399733647822,18.261808579308607,1,5.0
27,BayesianLinearRegressionNew,{'sig2_error': 1.0},3202.163764197589,18.208958345857223,2,5.0
28,BayesianLinearRegressionNew,{'sig2_error': 1.0},2501.007713704564,18.2726728233582,3,5.0
29,BayesianLinearRegressionNew,{'sig2_error': 1.0},2639.3283002110197,18.245686993600643,4,5.0
30,BayesianLinearRegressionNew,{'sig2_error': 0.5805234904289084},2574.167408701419,18.000133574382595,0,6.0
31,BayesianLinearRegressionNew,{'sig2_error': 0.5805234904289084},2543.6485208141335,17.98989620150577,1,6.0
32,BayesianLinearRegressionNew,{'sig2_error': 0.5805234904289084},3202.1673860571045,17.93704596570391,2,6.0
33,BayesianLinearRegressionNew,{'sig2_error': 0.5805234904289084},2501.011208120812,18.000760442223424,3,6.0
34,BayesianLinearRegressionNew,{'sig2_error': 0.5805234904289084},2639.325380671301,17.973774614301266,4,6.0
35,BayesianLinearRegressionNew,{'sig2_error': 0.611666762138113},2574.1680499287136,18.026262245721387,0,7.0
36,BayesianLinearRegressionNew,{'sig2_error': 0.611666762138113},2543.647884598185,18.01602487272513,1,7.0
37,BayesianLinearRegressionNew,{'sig2_error': 0.611666762138113},3202.1671159039056,17.96317463702694,2,7.0
38,BayesianLinearRegressionNew,{'sig2_error': 0.611666762138113},2501.0109468778337,18.026889113696377,3,7.0
39,BayesianLinearRegressionNew,{'sig2_error': 0.611666762138113},2639.32559596192,17.99990328562239,4,7.0
40,BayesianLinearRegressionNew,{'sig2_error': 0.6505372486712264},2574.1688505889388,18.05706769887115,0,8.0
41,BayesianLinearRegressionNew,{'sig2_error': 0.6505372486712264},2543.6470908914735,18.046830325725555,1,8.0
42,BayesianLinearRegressionNew,{'sig2_error': 0.6505372486712264},3202.1667790032043,17.993980090180006,2,8.0
43,BayesianLinearRegressionNew,{'sig2_error': 0.6505372486712264},2501.01062122247,18.05769456700939,3,8.0
44,BayesianLinearRegressionNew,{'sig2_error': 0.6505372486712264},2639.325864999783,18.030708738751688,4,8.0
45,BayesianLinearRegressionNew,{'sig2_error': 0.4831296413621586},2574.165404931532,17.908310984416,0,9.0
46,BayesianLinearRegressionNew,{'sig2_error': 0.4831296413621586},2543.65051212535,17.89807361191147,1,9.0
47,BayesianLinearRegressionNew,{'sig2_error': 0.4831296413621586},3202.168232202059,17.845223375945938,2,9.0
48,BayesianLinearRegressionNew,{'sig2_error': 0.4831296413621586},2501.012026971846,17.908937851827513,3,9.0
49,BayesianLinearRegressionNew,{'sig2_error': 0.4831296413621586},2639.3247089139104,17.881952024414666,4,9.0
50,BayesianLinearRegressionNew,{'sig2_error': 0.2833626396663303},2574.161302204628,17.641532279700726,0,10.0
51,BayesianLinearRegressionNew,{'sig2_error': 0.2833626396663303},2543.654604539459,17.631294907960186,1,10.0
52,BayesianLinearRegressionNew,{'sig2_error': 0.2833626396663303},3202.1699739136143,17.578444673237673,2,10.0
53,BayesianLinearRegressionNew,{'sig2_error': 0.2833626396663303},2501.0137154080962,17.642159146117145,3,10.0
