,modelo,parametros,rmse,nlpd,fold,tentativa
0,BayesianLinearRegression,"{'alphaInit': 0.22033273053891328, 'lambdaInit': 1.0369287325641845}",2574.0302695312257,17.162106099901106,0,0.0
1,BayesianLinearRegression,"{'alphaInit': 0.22033273053891328, 'lambdaInit': 1.0369287325641845}",2543.698983075997,17.159802753450386,1,0.0
2,BayesianLinearRegression,"{'alphaInit': 0.22033273053891328, 'lambdaInit': 1.0369287325641845}",3202.0755325205655,17.065564383704977,2,0.0
3,BayesianLinearRegression,"{'alphaInit': 0.22033273053891328, 'lambdaInit': 1.0369287325641845}",2500.8465750330975,17.168607132700288,3,0.0
4,BayesianLinearRegression,"{'alphaInit': 0.22033273053891328, 'lambdaInit': 1.0369287325641845}",2639.5482070947755,17.14300541671458,4,0.0
5,BayesianLinearRegression,"{'alphaInit': 0.29583908719369195, 'lambdaInit': 1.0055708073526708}",2574.030269531396,17.162106099899646,0,1.0
6,BayesianLinearRegression,"{'alphaInit': 0.29583908719369195, 'lambdaInit': 1.0055708073526708}",2543.6989830758785,17.15980275344813,1,1.0
7,BayesianLinearRegression,"{'alphaInit': 0.29583908719369195, 'lambdaInit': 1.0055708073526708}",3202.0755325207033,17.06556438370344,2,1.0
8,BayesianLinearRegression,"{'alphaInit': 0.29583908719369195, 'lambdaInit': 1.0055708073526708}",2500.846575033461,17.168607132697968,3,1.0
9,BayesianLinearRegression,"{'alphaInit': 0.29583908719369195, 'lambdaInit': 1.0055708073526708}",2639.5482070943613,17.143005416712835,4,1.0
10,BayesianLinearRegression,"{'alphaInit': 0.44184559382384914, 'lambdaInit': 0.7009828502238292}",2574.030269531632,17.16210609989761,0,2.0
11,BayesianLinearRegression,"{'alphaInit': 0.44184559382384914, 'lambdaInit': 0.7009828502238292}",2543.698983075714,17.15980275344499,1,2.0
12,BayesianLinearRegression,"{'alphaInit': 0.44184559382384914, 'lambdaInit': 0.7009828502238292}",3202.0755325208943,17.065564383701307,2,2.0
13,BayesianLinearRegression,"{'alphaInit': 0.44184559382384914, 'lambdaInit': 0.7009828502238292}",2500.8465750339656,17.168607132694742,3,2.0
14,BayesianLinearRegression,"{'alphaInit': 0.44184559382384914, 'lambdaInit': 0.7009828502238292}",2639.5482070937855,17.143005416710416,4,2.0
15,BayesianLinearRegression,"{'alphaInit': 0.6547785937548313, 'lambdaInit': 0.9378769279186498}",2574.0302695316523,17.16210609989744,0,3.0
16,BayesianLinearRegression,"{'alphaInit': 0.6547785937548313, 'lambdaInit': 0.9378769279186498}",2543.6989830756997,17.159802753444726,1,3.0
17,BayesianLinearRegression,"{'alphaInit': 0.6547785937548313, 'lambdaInit': 0.9378769279186498}",3202.0755325209107,17.065564383701123,2,3.0
18,BayesianLinearRegression,"{'alphaInit': 0.6547785937548313, 'lambdaInit': 0.9378769279186498}",2500.8465750340083,17.16860713269447,3,3.0
19,BayesianLinearRegression,"{'alphaInit': 0.6547785937548313, 'lambdaInit': 0.9378769279186498}",2639.548207093737,17.14300541671021,4,3.0
20,BayesianLinearRegression,"{'alphaInit': 1.004815581235808, 'lambdaInit': 0.2609191564660531}",2574.0302695318055,17.16210609989612,0,4.0
21,BayesianLinearRegression,"{'alphaInit': 1.004815581235808, 'lambdaInit': 0.2609191564660531}",2543.698983075593,17.15980275344269,1,4.0
22,BayesianLinearRegression,"{'alphaInit': 1.004815581235808, 'lambdaInit': 0.2609191564660531}",3202.075532521035,17.065564383699744,2,4.0
23,BayesianLinearRegression,"{'alphaInit': 1.004815581235808, 'lambdaInit': 0.2609191564660531}",2500.8465750343353,17.16860713269238,3,4.0
24,BayesianLinearRegression,"{'alphaInit': 1.004815581235808, 'lambdaInit': 0.2609191564660531}",2639.5482070933635,17.143005416708643,4,4.0
25,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.1}",2574.0302695290693,17.162106099919658,0,5.0
26,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.1}",2543.698983077549,17.159802753479894,1,5.0
27,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.1}",3202.0755325190667,17.065564383721668,2,5.0
28,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.1}",2500.8465750284345,17.168607132730077,3,5.0
29,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.1}",2639.5482071001247,17.143005416737076,4,5.0
30,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.0305396856364033}",2574.0302695290543,17.16210609991979,0,6.0
31,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.0305396856364033}",2543.6989830775606,17.159802753480104,1,6.0
32,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.0305396856364033}",3202.0755325190544,17.0655643837218,2,6.0
33,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.0305396856364033}",2500.8465750283995,17.168607132730298,3,6.0
34,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1.0305396856364033}",2639.5482071001634,17.14300541673724,4,6.0
35,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.8409955706324858}",2574.0302695290115,17.16210609992016,0,7.0
36,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.8409955706324858}",2543.698983077592,17.159802753480704,1,7.0
37,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.8409955706324858}",3202.0755325190225,17.06556438372217,2,7.0
38,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.8409955706324858}",2500.846575028301,17.16860713273093,3,7.0
39,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.8409955706324858}",2639.5482071002743,17.143005416737704,4,7.0
40,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.5435981952239765}",2574.0302695289643,17.162106099920564,0,8.0
41,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.5435981952239765}",2543.6989830776274,17.159802753481383,1,8.0
42,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.5435981952239765}",3202.0755325189875,17.065564383722553,2,8.0
43,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.5435981952239765}",2500.846575028189,17.168607132731648,3,8.0
44,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.5435981952239765}",2639.5482071004017,17.14300541673824,4,8.0
45,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.01750502302401474}",2574.030269502753,17.162106100146108,0,9.0
46,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.01750502302401474}",2543.6989830960556,17.159802753831865,1,9.0
47,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.01750502302401474}",3202.0755324984434,17.065564383951482,2,9.0
48,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.01750502302401474}",2500.8465749717766,17.168607133092063,3,9.0
49,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 0.01750502302401474}",2639.5482071652896,17.143005417011157,4,9.0
50,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1e-07}",2574.0302695317087,17.162106099896953,0,10.0
51,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1e-07}",2543.69898307566,17.15980275344397,1,10.0
52,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1e-07}",3202.0755325209566,17.065564383700618,2,10.0
53,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1e-07}",2500.8465750341293,17.168607132693698,3,10.0
54,BayesianLinearRegression,"{'alphaInit': 1e-07, 'lambdaInit': 1e-07}",2639.548207093599,17.14300541670963,4,10.0
55,BayesianLinearRegression,"{'alphaInit': 0.016866872530569784, 'lambdaInit': 0.042389344453291684}",2574.0302695315113,17.16210609989865,0,11.0
56,BayesianLinearRegression,"{'alphaInit': 0.016866872530569784, 'lambdaInit': 0.042389344453291684}",2543.698983075798,17.15980275344659,1,11.0
57,BayesianLinearRegression,"{'alphaInit': 0.016866872530569784, 'lambdaInit': 0.042389344453291684}",3202.0755325207965,17.065564383702398,2,11.0
58,BayesianLinearRegression,"{'alphaInit': 0.016866872530569784, 'lambdaInit': 0.042389344453291684}",2500.8465750337073,17.168607132696394,3,11.0
59,BayesianLinearRegression,"{'alphaInit': 0.016866872530569784, 'lambdaInit': 0.042389344453291684}",2639.54820709408,17.143005416711656,4,11.0
60,BayesianLinearRegression,"{'alphaInit': 0.6652639977790126, 'lambdaInit': 0.16230376911080802}",2574.0302695318073,17.1621060998961,0,12.0
61,BayesianLinearRegression,"{'alphaInit': 0.6652639977790126, 'lambdaInit': 0.16230376911080802}",2543.698983075591,17.159802753442662,1,12.0
62,BayesianLinearRegression,"{'alphaInit': 0.6652639977790126, 'lambdaInit': 0.16230376911080802}",3202.0755325210366,17.065564383699726,2,12.0
63,BayesianLinearRegression,"{'alphaInit': 0.6652639977790126, 'lambdaInit': 0.16230376911080802}",2500.84657503434,17.168607132692348,3,12.0
64,BayesianLinearRegression,"{'alphaInit': 0.6652639977790126, 'lambdaInit': 0.16230376911080802}",2639.5482070933585,17.143005416708622,4,12.0
65,BayesianLinearRegression,"{'alphaInit': 1.001411750964782, 'lambdaInit': 0.2900366713780878}",2574.0302695318014,17.162106099896153,0,13.0
66,BayesianLinearRegression,"{'alphaInit': 1.001411750964782, 'lambdaInit': 0.2900366713780878}",2543.698983075595,17.15980275344274,1,13.0
67,BayesianLinearRegression,"{'alphaInit': 1.001411750964782, 'lambdaInit': 0.2900366713780878}",3202.0755325210316,17.065564383699783,2,13.0
68,BayesianLinearRegression,"{'alphaInit': 1.001411750964782, 'lambdaInit': 0.2900366713780878}",2500.846575034327,17.168607132692433,3,13.0
69,BayesianLinearRegression,"{'alphaInit': 1.001411750964782, 'lambdaInit': 0.2900366713780878}",2639.548207093373,17.143005416708682,4,13.0
70,BayesianLinearRegression,"{'alphaInit': 0.009566735395642586, 'lambdaInit': 1.0039553040386342}",2574.0302695188743,17.162106100007378,0,14.0
71,BayesianLinearRegression,"{'alphaInit': 0.009566735395642586, 'lambdaInit': 1.0039553040386342}",2543.6989830846032,17.15980275361404,1,14.0
72,BayesianLinearRegression,"{'alphaInit': 0.009566735395642586, 'lambdaInit': 1.0039553040386342}",3202.0755325105833,17.065564383816202,2,14.0
73,BayesianLinearRegression,"{'alphaInit': 0.009566735395642586, 'lambdaInit': 1.0039553040386342}",2500.846575006847,17.168607132867987,3,14.0
74,BayesianLinearRegression,"{'alphaInit': 0.009566735395642586, 'lambdaInit': 1.0039553040386342}",2639.548207124753,17.14300541684065,4,14.0
75,BayesianLinearRegression,"{'alphaInit': 0.03891630011180901, 'lambdaInit': 1.0018026917554657}",2574.0302695285227,17.162106099924365,0,15.0
76,BayesianLinearRegression,"{'alphaInit': 0.03891630011180901, 'lambdaInit': 1.0018026917554657}",2543.698983077885,17.159802753486275,1,15.0
77,BayesianLinearRegression,"{'alphaInit': 0.03891630011180901, 'lambdaInit': 1.0018026917554657}",3202.0755325183763,17.065564383729363,2,15.0
78,BayesianLinearRegression,"{'alphaInit': 0.03891630011180901, 'lambdaInit': 1.0018026917554657}",2500.8465750273303,17.16860713273713,3,15.0
79,BayesianLinearRegression,"{'alphaInit': 0.03891630011180901, 'lambdaInit': 1.0018026917554657}",2639.5482071013557,17.143005416742255,4,15.0
80,BayesianLinearRegression,"{'alphaInit': 0.044326291492369434, 'lambdaInit': 0.19167172513797862}",2574.0302695312757,17.16210609990068,0,16.0
81,BayesianLinearRegression,"{'alphaInit': 0.044326291492369434, 'lambdaInit': 0.19167172513797862}",2543.6989830759626,17.15980275344973,1,16.0
82,BayesianLinearRegression,"{'alphaInit': 0.044326291492369434, 'lambdaInit': 0.19167172513797862}",3202.075532520605,17.065564383704526,2,16.0
83,BayesianLinearRegression,"{'alphaInit': 0.044326291492369434, 'lambdaInit': 0.19167172513797862}",2500.846575033204,17.16860713269961,3,16.0
84,BayesianLinearRegression,"{'alphaInit': 0.044326291492369434, 'lambdaInit': 0.19167172513797862}",2639.5482070946546,17.143005416714068,4,16.0
85,BayesianLinearRegression,"{'alphaInit': 0.04803592669527008, 'lambdaInit': 1.0013333659686554}",2574.0302695291466,17.162106099918997,0,17.0
86,BayesianLinearRegression,"{'alphaInit': 0.04803592669527008, 'lambdaInit': 1.0013333659686554}",2543.6989830774496,17.159802753478,1,17.0
87,BayesianLinearRegression,"{'alphaInit': 0.04803592669527008, 'lambdaInit': 1.0013333659686554}",3202.075532518881,17.06556438372374,2,17.0
88,BayesianLinearRegression,"{'alphaInit': 0.04803592669527008, 'lambdaInit': 1.0013333659686554}",2500.84657502866,17.168607132728635,3,17.0
89,BayesianLinearRegression,"{'alphaInit': 0.04803592669527008, 'lambdaInit': 1.0013333659686554}",2639.5482070998382,17.14300541673587,4,17.0
90,BayesianLinearRegression,"{'alphaInit': 0.029061720944966125, 'lambdaInit': 0.08548814550905467}",2574.0302695314554,17.16210609989913,0,18.0
