,modelo,parametros,rmse,nlpd,mape,fold,tentativa
0,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.017069598320560434, 'order': 10.0}",4.867878820227522e+47,,1.0,0,0.0
1,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.017069598320560434, 'order': 10.0}",4.560001532068131e+40,,1.0,1,0.0
2,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.017069598320560434, 'order': 10.0}",1.3749532304871821e+42,,1.0,2,0.0
3,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.017069598320560434, 'order': 10.0}",1.9515608058146887e+46,,1.0,3,0.0
4,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.017069598320560434, 'order': 10.0}",6.569486049474495e+39,,1.0,4,0.0
5,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.029757700018402482, 'order': 9.0}",1.9449818398794134e+39,,1.0,0,1.0
6,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.029757700018402482, 'order': 9.0}",1.9277200957008705e+38,,1.0,1,1.0
7,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.029757700018402482, 'order': 9.0}",3.1389665533935585e+36,,1.0,2,1.0
8,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.029757700018402482, 'order': 9.0}",2.0610128386009817e+38,,1.0,3,1.0
9,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.029757700018402482, 'order': 9.0}",1.324966380964946e+37,,1.0,4,1.0
10,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016342278462326457, 'order': 8.0}",1.2657843939397335e+35,,1.0,0,2.0
11,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016342278462326457, 'order': 8.0}",4.111572399076239e+31,,1.0,1,2.0
12,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016342278462326457, 'order': 8.0}",4.6082931486670514e+32,,1.0,2,2.0
13,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016342278462326457, 'order': 8.0}",3.8157901269809676e+31,,1.0,3,2.0
14,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.016342278462326457, 'order': 8.0}",1.4313079587194393e+32,,1.0,4,2.0
15,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.037985952143359196, 'order': 9.0}",2.0553329594560396e+39,,1.0,0,3.0
16,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.037985952143359196, 'order': 9.0}",2.4431206414934464e+37,,1.0,1,3.0
17,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.037985952143359196, 'order': 9.0}",7.972599342159731e+36,,1.0,2,3.0
18,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.037985952143359196, 'order': 9.0}",2.14328839387502e+38,,1.0,3,3.0
19,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.037985952143359196, 'order': 9.0}",6.580151092377594e+35,,1.0,4,3.0
20,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.08385688009425256, 'order': 2.0}",3039.1832442690566,19.63786336756016,1.029207831104475,0,4.0
21,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.08385688009425256, 'order': 2.0}",2950.060818542248,19.63729907346826,0.884371796755593,1,4.0
22,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.08385688009425256, 'order': 2.0}",2742.7009515123955,19.640119770315703,1.1456610621849475,2,4.0
23,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.08385688009425256, 'order': 2.0}",8129.552104502805,19.63966751381381,1.3617028110236296,3,4.0
24,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.08385688009425256, 'order': 2.0}",29499.38379557145,16.968721726351824,0.8577169333428106,4,4.0
25,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09792894880056524, 'order': 10.0}",3.664930466547542e+46,,1.0,0,5.0
26,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.09792894880056524, 'order': 10.0}",5.003167638672264e+39,,1.0,1,5.0
