,modelo,parametros,rmse,nlpd,fold,tentativa
0,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5160724387158614, 'order': 2.0}",2467.4257758367144,17.941893954111958,0,0.0
1,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5160724387158614, 'order': 2.0}",2459.499319968515,17.931397376282362,1,0.0
2,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5160724387158614, 'order': 2.0}",3153.7525139709883,17.87851503828306,2,0.0
3,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5160724387158614, 'order': 2.0}",2414.846855195224,17.94240945748381,3,0.0
4,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5160724387158614, 'order': 2.0}",2578.891494121002,17.91536352543269,4,0.0
5,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.1362766126553675, 'order': 3.0}",2506.868465257635,17.277045573663184,0,1.0
6,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.1362766126553675, 'order': 3.0}",2443.406124842486,17.265934799883716,1,1.0
7,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.1362766126553675, 'order': 3.0}",3150.7032767286937,17.213011488318834,2,1.0
8,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.1362766126553675, 'order': 3.0}",2498.2927701127546,17.27755224667183,3,1.0
9,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.1362766126553675, 'order': 3.0}",2583.4095958707157,17.24998843056819,4,1.0
10,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5429511161796469, 'order': 5.0}",2447.438627424849,17.970592659941584,0,2.0
11,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5429511161796469, 'order': 5.0}",2439.961720758251,17.957725600318987,1,2.0
12,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5429511161796469, 'order': 5.0}",3149.5726262498965,17.904829702287913,2,2.0
13,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5429511161796469, 'order': 5.0}",5883.837740064762,17.971695140232608,3,2.0
14,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.5429511161796469, 'order': 5.0}",2595.7701435922336,17.942111829784984,4,2.0
15,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.575635626825398, 'order': 4.0}",2437.7386476918614,17.99856248694151,0,3.0
16,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.575635626825398, 'order': 4.0}",2436.4369239389985,17.9866333851086,1,3.0
17,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.575635626825398, 'order': 4.0}",3150.1953123737367,17.933736770523605,2,3.0
18,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.575635626825398, 'order': 4.0}",2488.4498565997033,17.99924096912585,3,3.0
19,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.575635626825398, 'order': 4.0}",2582.3338912235313,17.970847723902995,4,3.0
20,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.008611981965201966, 'order': 6.0}",8779.836064249948,,0,4.0
21,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.008611981965201966, 'order': 6.0}",3126.752759279036,,1,4.0
22,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.008611981965201966, 'order': 6.0}",3282.1734517175832,,2,4.0
23,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.008611981965201966, 'order': 6.0}",31136.875880319218,,3,4.0
24,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.008611981965201966, 'order': 6.0}",2645.3520584827484,,4,4.0
25,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.9897054579309903, 'order': 3.0}",2507.066982575269,18.268405255326677,0,5.0
26,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.9897054579309903, 'order': 3.0}",2443.3742431026594,18.257294484337443,1,5.0
27,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.9897054579309903, 'order': 3.0}",3150.6887326212336,18.204371231922657,2,5.0
28,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.9897054579309903, 'order': 3.0}",2497.068597838016,18.26891169685217,3,5.0
29,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 0.9897054579309903, 'order': 3.0}",2583.373089712875,18.241348193987022,4,5.0
30,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1.0, 'order': 10.0}",3.450048391033575e+18,,0,6.0
31,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1.0, 'order': 10.0}",2.0250023577822026e+17,,1,6.0
32,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1.0, 'order': 10.0}",1.1480616900311646e+17,,2,6.0
33,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1.0, 'order': 10.0}",4.5089291078320294e+17,,3,6.0
34,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1.0, 'order': 10.0}",1.5268932123629248e+17,,4,6.0
35,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1e-07, 'order': 5.0}",232717.59599792783,,0,7.0
36,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1e-07, 'order': 5.0}",743804.2561416957,,1,7.0
37,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1e-07, 'order': 5.0}",339078.43159118475,,2,7.0
38,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1e-07, 'order': 5.0}",1595362.8244960415,,3,7.0
39,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1e-07, 'order': 5.0}",261912.16442601228,,4,7.0
40,BayesianPolinomialLinearRegressionNew,"{'sig2_error': 1e-07, 'order': 2.0}",2467.2839342133448,,0,8.0
