,modelo,parametros,rmse,nlpd,fold,tentativa
0,BayesianPolinomialLinearRegression,"{'alphaInit': 0.8067450492515083, 'lambdaInit': 0.9023715657955327, 'order': 7.0}",2459.078861710717,3096972118.457221,0,0.0
1,BayesianPolinomialLinearRegression,"{'alphaInit': 0.8067450492515083, 'lambdaInit': 0.9023715657955327, 'order': 7.0}",2450.9415538444823,3075560452.8443446,1,0.0
2,BayesianPolinomialLinearRegression,"{'alphaInit': 0.8067450492515083, 'lambdaInit': 0.9023715657955327, 'order': 7.0}",3151.218377421065,1620064528.9303133,2,0.0
3,BayesianPolinomialLinearRegression,"{'alphaInit': 0.8067450492515083, 'lambdaInit': 0.9023715657955327, 'order': 7.0}",2407.43359250373,2945205909.390352,3,0.0
4,BayesianPolinomialLinearRegression,"{'alphaInit': 0.8067450492515083, 'lambdaInit': 0.9023715657955327, 'order': 7.0}",2578.940196752508,3495228415.2561145,4,0.0
5,BayesianPolinomialLinearRegression,"{'alphaInit': 0.4686254355725971, 'lambdaInit': 0.8386766198505103, 'order': 10.0}",2472.454307509772,3128960218.4986567,0,1.0
6,BayesianPolinomialLinearRegression,"{'alphaInit': 0.4686254355725971, 'lambdaInit': 0.8386766198505103, 'order': 10.0}",2452.5100832346857,3078724539.8552146,1,1.0
7,BayesianPolinomialLinearRegression,"{'alphaInit': 0.4686254355725971, 'lambdaInit': 0.8386766198505103, 'order': 10.0}",3151.403959784648,1619675003.575772,2,1.0
8,BayesianPolinomialLinearRegression,"{'alphaInit': 0.4686254355725971, 'lambdaInit': 0.8386766198505103, 'order': 10.0}",11248.59383803083,64298161823.804,3,1.0
9,BayesianPolinomialLinearRegression,"{'alphaInit': 0.4686254355725971, 'lambdaInit': 0.8386766198505103, 'order': 10.0}",2581.6918345002414,3505089973.4636154,4,1.0
10,BayesianPolinomialLinearRegression,"{'alphaInit': 1.064936493509502, 'lambdaInit': 1.0844427571605046, 'order': 7.0}",2459.0789168342594,3096972337.5242457,0,2.0
11,BayesianPolinomialLinearRegression,"{'alphaInit': 1.064936493509502, 'lambdaInit': 1.0844427571605046, 'order': 7.0}",2450.9415391680695,3075560461.0175924,1,2.0
12,BayesianPolinomialLinearRegression,"{'alphaInit': 1.064936493509502, 'lambdaInit': 1.0844427571605046, 'order': 7.0}",3151.2183724484466,1620064543.1178799,2,2.0
13,BayesianPolinomialLinearRegression,"{'alphaInit': 1.064936493509502, 'lambdaInit': 1.0844427571605046, 'order': 7.0}",2407.437978393069,2945216819.855068,3,2.0
14,BayesianPolinomialLinearRegression,"{'alphaInit': 1.064936493509502, 'lambdaInit': 1.0844427571605046, 'order': 7.0}",2578.9402025099193,3495228525.325076,4,2.0
15,BayesianPolinomialLinearRegression,"{'alphaInit': 0.5326645513401204, 'lambdaInit': 0.024038117042412606, 'order': 3.0}",2495.716677396533,3194130959.905116,0,3.0
16,BayesianPolinomialLinearRegression,"{'alphaInit': 0.5326645513401204, 'lambdaInit': 0.024038117042412606, 'order': 3.0}",2448.4199382598954,3063661212.630211,1,3.0
17,BayesianPolinomialLinearRegression,"{'alphaInit': 0.5326645513401204, 'lambdaInit': 0.024038117042412606, 'order': 3.0}",3152.514757479769,1617147041.3689685,2,3.0
18,BayesianPolinomialLinearRegression,"{'alphaInit': 0.5326645513401204, 'lambdaInit': 0.024038117042412606, 'order': 3.0}",2401.7793798220887,2930449895.7782245,3,3.0
19,BayesianPolinomialLinearRegression,"{'alphaInit': 0.5326645513401204, 'lambdaInit': 0.024038117042412606, 'order': 3.0}",2580.772459290772,3493856525.600036,4,3.0
