,modelo,parametros,rmse,nlpd,mape,fold,tentativa
0,BayesianRBFLinearRegression,"{'sig2_error': 0.28336857762367074, 'mean_rbf_arbitrario': 0.7989966543346119, 'lambda_rbf_arbitrario': 0.9110383777078438}",3560.8380298802454,20.24612536166676,0.7029268541712207,0,0.0
1,BayesianRBFLinearRegression,"{'sig2_error': 0.28336857762367074, 'mean_rbf_arbitrario': 0.7989966543346119, 'lambda_rbf_arbitrario': 0.9110383777078438}",3513.1910589033423,20.24601077640987,0.6905825313354097,1,0.0
2,BayesianRBFLinearRegression,"{'sig2_error': 0.28336857762367074, 'mean_rbf_arbitrario': 0.7989966543346119, 'lambda_rbf_arbitrario': 0.9110383777078438}",3281.0053952130756,20.248615644037002,0.758085496276415,2,0.0
3,BayesianRBFLinearRegression,"{'sig2_error': 0.28336857762367074, 'mean_rbf_arbitrario': 0.7989966543346119, 'lambda_rbf_arbitrario': 0.9110383777078438}",3635.9899152786365,20.24469282685454,0.645637833377865,3,0.0
4,BayesianRBFLinearRegression,"{'sig2_error': 0.28336857762367074, 'mean_rbf_arbitrario': 0.7989966543346119, 'lambda_rbf_arbitrario': 0.9110383777078438}",29598.075613494108,17.577332211037614,0.7453744501849776,4,0.0
5,BayesianRBFLinearRegression,"{'sig2_error': 0.12029101606484424, 'mean_rbf_arbitrario': 0.9573550361780832, 'lambda_rbf_arbitrario': 0.11378083551680848}",3578.3912898703556,19.817675210176322,0.7088237245899748,0,1.0
6,BayesianRBFLinearRegression,"{'sig2_error': 0.12029101606484424, 'mean_rbf_arbitrario': 0.9573550361780832, 'lambda_rbf_arbitrario': 0.11378083551680848}",3642.6164703012464,19.817596102359982,0.7640597255145776,1,1.0
7,BayesianRBFLinearRegression,"{'sig2_error': 0.12029101606484424, 'mean_rbf_arbitrario': 0.9573550361780832, 'lambda_rbf_arbitrario': 0.11378083551680848}",3347.7194316456334,19.820208347630942,0.5698632211905775,2,1.0
8,BayesianRBFLinearRegression,"{'sig2_error': 0.12029101606484424, 'mean_rbf_arbitrario': 0.9573550361780832, 'lambda_rbf_arbitrario': 0.11378083551680848}",3809.2080879366217,19.816293678751332,0.6674286827491749,3,1.0
9,BayesianRBFLinearRegression,"{'sig2_error': 0.12029101606484424, 'mean_rbf_arbitrario': 0.9573550361780832, 'lambda_rbf_arbitrario': 0.11378083551680848}",29679.873814643965,17.148935782412288,0.9282706858015245,4,1.0
10,BayesianRBFLinearRegression,"{'sig2_error': 0.3298527585884452, 'mean_rbf_arbitrario': -0.4270149131491463, 'lambda_rbf_arbitrario': 0.42828661996896566}",3601.7941974627265,20.322059360875976,0.6275248447420959,0,2.0
11,BayesianRBFLinearRegression,"{'sig2_error': 0.3298527585884452, 'mean_rbf_arbitrario': -0.4270149131491463, 'lambda_rbf_arbitrario': 0.42828661996896566}",3613.1357111675234,20.32196778371886,0.702347807116693,1,2.0
12,BayesianRBFLinearRegression,"{'sig2_error': 0.3298527585884452, 'mean_rbf_arbitrario': -0.4270149131491463, 'lambda_rbf_arbitrario': 0.42828661996896566}",3353.523995163704,20.324562474085695,0.5976883972351257,2,2.0
13,BayesianRBFLinearRegression,"{'sig2_error': 0.3298527585884452, 'mean_rbf_arbitrario': -0.4270149131491463, 'lambda_rbf_arbitrario': 0.42828661996896566}",3695.6290152883075,20.32065252537467,0.6693056415371631,3,2.0
14,BayesianRBFLinearRegression,"{'sig2_error': 0.3298527585884452, 'mean_rbf_arbitrario': -0.4270149131491463, 'lambda_rbf_arbitrario': 0.42828661996896566}",29637.15007590026,17.653294923686875,0.7848316855680291,4,2.0
15,BayesianRBFLinearRegression,"{'sig2_error': 0.9192343795050286, 'mean_rbf_arbitrario': -0.6874868794903759, 'lambda_rbf_arbitrario': 0.9219240821203365}",3560.098223234865,20.83451121628354,0.7410178365649833,0,3.0
16,BayesianRBFLinearRegression,"{'sig2_error': 0.9192343795050286, 'mean_rbf_arbitrario': -0.6874868794903759, 'lambda_rbf_arbitrario': 0.9219240821203365}",3513.375551158678,20.834395521985243,0.6937670296000708,1,3.0
17,BayesianRBFLinearRegression,"{'sig2_error': 0.9192343795050286, 'mean_rbf_arbitrario': -0.6874868794903759, 'lambda_rbf_arbitrario': 0.9219240821203365}",3280.8847667136733,20.83700483753659,0.802981272302827,2,3.0
18,BayesianRBFLinearRegression,"{'sig2_error': 0.9192343795050286, 'mean_rbf_arbitrario': -0.6874868794903759, 'lambda_rbf_arbitrario': 0.9219240821203365}",3635.8056600760942,20.833085235102605,0.6446790428338263,3,3.0
19,BayesianRBFLinearRegression,"{'sig2_error': 0.9192343795050286, 'mean_rbf_arbitrario': -0.6874868794903759, 'lambda_rbf_arbitrario': 0.9219240821203365}",29597.139419283863,18.165720291904602,0.7445133543381247,4,3.0
20,BayesianRBFLinearRegression,"{'sig2_error': 0.03687422354000407, 'mean_rbf_arbitrario': -0.9949124531273719, 'lambda_rbf_arbitrario': 0.8676200832475323}",3564.3165368778928,19.226510753204273,0.6890441836231406,0,4.0
21,BayesianRBFLinearRegression,"{'sig2_error': 0.03687422354000407, 'mean_rbf_arbitrario': -0.9949124531273719, 'lambda_rbf_arbitrario': 0.8676200832475323}",3519.239593896015,19.2263986125936,0.6889016848267976,1,4.0
22,BayesianRBFLinearRegression,"{'sig2_error': 0.03687422354000407, 'mean_rbf_arbitrario': -0.9949124531273719, 'lambda_rbf_arbitrario': 0.8676200832475323}",3286.2655430442264,19.229000237437734,0.7280482592159883,2,4.0
