,modelo,parametros,rmse,nlpd,fold,tentativa
0,BayesianRBFLinearRegression,"{'sig2_error': 0.061771247950922835, 'mean_rbf_arbitrario': -0.1874400218691601, 'lambda_rbf_arbitrario': 0.4024779345839998}",3539.5100523682427,16.879862536941857,0,0.0
1,BayesianRBFLinearRegression,"{'sig2_error': 0.061771247950922835, 'mean_rbf_arbitrario': -0.1874400218691601, 'lambda_rbf_arbitrario': 0.4024779345839998}",3596.1234765668246,16.869660958224276,1,0.0
2,BayesianRBFLinearRegression,"{'sig2_error': 0.061771247950922835, 'mean_rbf_arbitrario': -0.1874400218691601, 'lambda_rbf_arbitrario': 0.4024779345839998}",3997.1595230614043,16.816814655213573,2,0.0
3,BayesianRBFLinearRegression,"{'sig2_error': 0.061771247950922835, 'mean_rbf_arbitrario': -0.1874400218691601, 'lambda_rbf_arbitrario': 0.4024779345839998}",3541.3506203688307,16.88052329632643,3,0.0
4,BayesianRBFLinearRegression,"{'sig2_error': 0.061771247950922835, 'mean_rbf_arbitrario': -0.1874400218691601, 'lambda_rbf_arbitrario': 0.4024779345839998}",3721.6022233218223,16.853517466218136,4,0.0
5,BayesianRBFLinearRegression,"{'sig2_error': 0.8655733337466187, 'mean_rbf_arbitrario': 0.5615293319140349, 'lambda_rbf_arbitrario': 0.6883292769410914}",3399.038948972572,18.199838379289098,0,1.0
6,BayesianRBFLinearRegression,"{'sig2_error': 0.8655733337466187, 'mean_rbf_arbitrario': 0.5615293319140349, 'lambda_rbf_arbitrario': 0.6883292769410914}",3454.5914345599813,18.189633516233965,1,1.0
7,BayesianRBFLinearRegression,"{'sig2_error': 0.8655733337466187, 'mean_rbf_arbitrario': 0.5615293319140349, 'lambda_rbf_arbitrario': 0.6883292769410914}",3868.781855483767,18.136790164040956,2,1.0
8,BayesianRBFLinearRegression,"{'sig2_error': 0.8655733337466187, 'mean_rbf_arbitrario': 0.5615293319140349, 'lambda_rbf_arbitrario': 0.6883292769410914}",3373.880728950143,18.200490855560567,3,1.0
9,BayesianRBFLinearRegression,"{'sig2_error': 0.8655733337466187, 'mean_rbf_arbitrario': 0.5615293319140349, 'lambda_rbf_arbitrario': 0.6883292769410914}",3552.3465439507972,18.17349515427147,4,1.0
10,BayesianRBFLinearRegression,"{'sig2_error': 0.17243333599942606, 'mean_rbf_arbitrario': 0.4838679823948857, 'lambda_rbf_arbitrario': 0.09804724073875486}",3713.8582460203584,17.393148428103572,0,2.0
11,BayesianRBFLinearRegression,"{'sig2_error': 0.17243333599942606, 'mean_rbf_arbitrario': 0.4838679823948857, 'lambda_rbf_arbitrario': 0.09804724073875486}",3751.238798455458,17.382952191939584,1,2.0
12,BayesianRBFLinearRegression,"{'sig2_error': 0.17243333599942606, 'mean_rbf_arbitrario': 0.4838679823948857, 'lambda_rbf_arbitrario': 0.09804724073875486}",4163.8766419059175,17.33008879255844,2,2.0
13,BayesianRBFLinearRegression,"{'sig2_error': 0.17243333599942606, 'mean_rbf_arbitrario': 0.4838679823948857, 'lambda_rbf_arbitrario': 0.09804724073875486}",3698.650161538043,17.39381905076962,3,2.0
14,BayesianRBFLinearRegression,"{'sig2_error': 0.17243333599942606, 'mean_rbf_arbitrario': 0.4838679823948857, 'lambda_rbf_arbitrario': 0.09804724073875486}",3904.2656566906967,17.366793914429596,4,2.0
15,BayesianRBFLinearRegression,"{'sig2_error': 0.9932709018410396, 'mean_rbf_arbitrario': -0.6847187981261271, 'lambda_rbf_arbitrario': 0.7624197068797788}",3375.688470610782,18.268644049535077,0,3.0
16,BayesianRBFLinearRegression,"{'sig2_error': 0.9932709018410396, 'mean_rbf_arbitrario': -0.6847187981261271, 'lambda_rbf_arbitrario': 0.7624197068797788}",3429.8917603233735,18.258438312785138,1,3.0
17,BayesianRBFLinearRegression,"{'sig2_error': 0.9932709018410396, 'mean_rbf_arbitrario': -0.6847187981261271, 'lambda_rbf_arbitrario': 0.7624197068797788}",3847.429685476144,18.20559524691306,2,3.0
18,BayesianRBFLinearRegression,"{'sig2_error': 0.9932709018410396, 'mean_rbf_arbitrario': -0.6847187981261271, 'lambda_rbf_arbitrario': 0.7624197068797788}",3343.6420088853515,18.26929448617926,3,3.0
19,BayesianRBFLinearRegression,"{'sig2_error': 0.9932709018410396, 'mean_rbf_arbitrario': -0.6847187981261271, 'lambda_rbf_arbitrario': 0.7624197068797788}",3522.2399898075355,18.24230106016425,4,3.0
