,modelo,parametros,rmse,nlpd,fold,tentativa
0,RBFLinearRegression,"{'sig2_error': 0.5336297299858314, 'mean_rbf_arbitrario': -0.925476512780508, 'lambda_rbf_arbitrario': 0.3664594763689238}",2863.129410031956,1915901.561890559,0,0.0
1,RBFLinearRegression,"{'sig2_error': 0.5336297299858314, 'mean_rbf_arbitrario': -0.925476512780508, 'lambda_rbf_arbitrario': 0.3664594763689238}",2822.688995617016,1862447.827276285,1,0.0
2,RBFLinearRegression,"{'sig2_error': 0.5336297299858314, 'mean_rbf_arbitrario': -0.925476512780508, 'lambda_rbf_arbitrario': 0.3664594763689238}",3365.3644724505243,2647581.910516537,2,0.0
3,RBFLinearRegression,"{'sig2_error': 0.5336297299858314, 'mean_rbf_arbitrario': -0.925476512780508, 'lambda_rbf_arbitrario': 0.3664594763689238}",2694.6567675712135,1697449.3956914758,3,0.0
4,RBFLinearRegression,"{'sig2_error': 0.5336297299858314, 'mean_rbf_arbitrario': -0.925476512780508, 'lambda_rbf_arbitrario': 0.3664594763689238}",2917.6307162229223,1989724.785664105,4,0.0
5,RBFLinearRegression,"{'sig2_error': 0.7313960420590393, 'mean_rbf_arbitrario': -0.9954717551341385, 'lambda_rbf_arbitrario': 0.845251770637892}",2904.9124674895434,1439067.1903625713,0,1.0
6,RBFLinearRegression,"{'sig2_error': 0.7313960420590393, 'mean_rbf_arbitrario': -0.9954717551341385, 'lambda_rbf_arbitrario': 0.845251770637892}",2890.8098297698025,1425436.2392382037,1,1.0
7,RBFLinearRegression,"{'sig2_error': 0.7313960420590393, 'mean_rbf_arbitrario': -0.9954717551341385, 'lambda_rbf_arbitrario': 0.845251770637892}",3398.6718383652055,1970397.15457595,2,1.0
8,RBFLinearRegression,"{'sig2_error': 0.7313960420590393, 'mean_rbf_arbitrario': -0.9954717551341385, 'lambda_rbf_arbitrario': 0.845251770637892}",2768.705790352756,1307545.7384281962,3,1.0
9,RBFLinearRegression,"{'sig2_error': 0.7313960420590393, 'mean_rbf_arbitrario': -0.9954717551341385, 'lambda_rbf_arbitrario': 0.845251770637892}",2970.4945511541036,1505014.7915714066,4,1.0
10,RBFLinearRegression,"{'sig2_error': 0.5659776041893985, 'mean_rbf_arbitrario': 0.6751805757481768, 'lambda_rbf_arbitrario': 0.4726253643105938}",3674.149282157213,2974995.605402585,0,2.0
11,RBFLinearRegression,"{'sig2_error': 0.5659776041893985, 'mean_rbf_arbitrario': 0.6751805757481768, 'lambda_rbf_arbitrario': 0.4726253643105938}",3527.867170306607,2743386.0712412405,1,2.0
12,RBFLinearRegression,"{'sig2_error': 0.5659776041893985, 'mean_rbf_arbitrario': 0.6751805757481768, 'lambda_rbf_arbitrario': 0.4726253643105938}",3957.518041631777,3452494.408662485,2,2.0
13,RBFLinearRegression,"{'sig2_error': 0.5659776041893985, 'mean_rbf_arbitrario': 0.6751805757481768, 'lambda_rbf_arbitrario': 0.4726253643105938}",3500.915563671426,2701515.6579534616,3,2.0
14,RBFLinearRegression,"{'sig2_error': 0.5659776041893985, 'mean_rbf_arbitrario': 0.6751805757481768, 'lambda_rbf_arbitrario': 0.4726253643105938}",3733.3155909694065,3071943.520942373,4,2.0
15,RBFLinearRegression,"{'sig2_error': 0.9592232230397143, 'mean_rbf_arbitrario': -0.22485525897637926, 'lambda_rbf_arbitrario': 0.9438686723062409}",3246.5742759351906,1370766.8741296576,0,3.0
16,RBFLinearRegression,"{'sig2_error': 0.9592232230397143, 'mean_rbf_arbitrario': -0.22485525897637926, 'lambda_rbf_arbitrario': 0.9438686723062409}",3285.0701478871247,1403829.9163243899,1,3.0
17,RBFLinearRegression,"{'sig2_error': 0.9592232230397143, 'mean_rbf_arbitrario': -0.22485525897637926, 'lambda_rbf_arbitrario': 0.9438686723062409}",3716.162323751406,1796557.4641978154,2,3.0
18,RBFLinearRegression,"{'sig2_error': 0.9592232230397143, 'mean_rbf_arbitrario': -0.22485525897637926, 'lambda_rbf_arbitrario': 0.9438686723062409}",3160.5798538864747,1299364.5168232895,3,3.0
