,modelo,parametros,rmse,nlpd,mape,fold,tentativa
0,RegressaoLinear,{},2937.2379351366894,4.31368334380302e+66,0.5003119498390171,0,0.0
1,RegressaoLinear,{},2909.8658091366165,4.233659513591148e+66,0.639751688469996,1,0.0
2,RegressaoLinear,{},2670.370629468012,3.565439649362692e+66,0.614795112153262,2,0.0
3,RegressaoLinear,{},3153.836825142198,4.973343359811509e+66,0.5795194643159419,3,0.0
4,RegressaoLinear,{},29511.483736242135,4.354638361572419e+68,0.7470274660261733,4,0.0
5,RegressaoLinear,{},2937.2379351366894,4.31368334380302e+66,0.5003119498390171,0,1.0
6,RegressaoLinear,{},2909.8658091366165,4.233659513591148e+66,0.639751688469996,1,1.0
7,RegressaoLinear,{},2670.370629468012,3.565439649362692e+66,0.614795112153262,2,1.0
8,RegressaoLinear,{},3153.836825142198,4.973343359811509e+66,0.5795194643159419,3,1.0
9,RegressaoLinear,{},29511.483736242135,4.354638361572419e+68,0.7470274660261733,4,1.0
10,RegressaoLinear,{},2937.2379351366894,4.31368334380302e+66,0.5003119498390171,0,2.0
11,RegressaoLinear,{},2909.8658091366165,4.233659513591148e+66,0.639751688469996,1,2.0
12,RegressaoLinear,{},2670.370629468012,3.565439649362692e+66,0.614795112153262,2,2.0
13,RegressaoLinear,{},3153.836825142198,4.973343359811509e+66,0.5795194643159419,3,2.0
14,RegressaoLinear,{},29511.483736242135,4.354638361572419e+68,0.7470274660261733,4,2.0
15,RegressaoLinear,{},2937.2379351366894,4.31368334380302e+66,0.5003119498390171,0,3.0
16,RegressaoLinear,{},2909.8658091366165,4.233659513591148e+66,0.639751688469996,1,3.0
17,RegressaoLinear,{},2670.370629468012,3.565439649362692e+66,0.614795112153262,2,3.0
18,RegressaoLinear,{},3153.836825142198,4.973343359811509e+66,0.5795194643159419,3,3.0
19,RegressaoLinear,{},29511.483736242135,4.354638361572419e+68,0.7470274660261733,4,3.0
20,RegressaoLinear,{},2937.2379351366894,4.31368334380302e+66,0.5003119498390171,0,4.0
21,RegressaoLinear,{},2909.8658091366165,4.233659513591148e+66,0.639751688469996,1,4.0
22,RegressaoLinear,{},2670.370629468012,3.565439649362692e+66,0.614795112153262,2,4.0
23,RegressaoLinear,{},3153.836825142198,4.973343359811509e+66,0.5795194643159419,3,4.0
24,RegressaoLinear,{},29511.483736242135,4.354638361572419e+68,0.7470274660261733,4,4.0
