,modelo,parametros,rmse,nlpd,fold,tentativa
0,RegressaoLinear,{},2574.2459566223592,3.313371122593282e+66,0,0.0
1,RegressaoLinear,{},2543.53570499367,3.2347869412888218e+66,1,0.0
2,RegressaoLinear,{},3204.8498802947047,5.1355313776124904e+66,2,0.0
3,RegressaoLinear,{},2501.7629605703783,3.129408955440932e+66,3,0.0
4,RegressaoLinear,{},2639.1511062542304,3.482559280821463e+66,4,0.0
5,RegressaoLinear,{},2574.2459566223592,3.313371122593282e+66,0,1.0
6,RegressaoLinear,{},2543.53570499367,3.2347869412888218e+66,1,1.0
7,RegressaoLinear,{},3204.8498802947047,5.1355313776124904e+66,2,1.0
8,RegressaoLinear,{},2501.7629605703783,3.129408955440932e+66,3,1.0
9,RegressaoLinear,{},2639.1511062542304,3.482559280821463e+66,4,1.0
10,RegressaoLinear,{},2574.2459566223592,3.313371122593282e+66,0,2.0
11,RegressaoLinear,{},2543.53570499367,3.2347869412888218e+66,1,2.0
12,RegressaoLinear,{},3204.8498802947047,5.1355313776124904e+66,2,2.0
13,RegressaoLinear,{},2501.7629605703783,3.129408955440932e+66,3,2.0
14,RegressaoLinear,{},2639.1511062542304,3.482559280821463e+66,4,2.0
15,RegressaoLinear,{},2574.2459566223592,3.313371122593282e+66,0,3.0
16,RegressaoLinear,{},2543.53570499367,3.2347869412888218e+66,1,3.0
17,RegressaoLinear,{},3204.8498802947047,5.1355313776124904e+66,2,3.0
18,RegressaoLinear,{},2501.7629605703783,3.129408955440932e+66,3,3.0
19,RegressaoLinear,{},2639.1511062542304,3.482559280821463e+66,4,3.0
20,RegressaoLinear,{},2574.2459566223592,3.313371122593282e+66,0,4.0
21,RegressaoLinear,{},2543.53570499367,3.2347869412888218e+66,1,4.0
22,RegressaoLinear,{},3204.8498802947047,5.1355313776124904e+66,2,4.0
23,RegressaoLinear,{},2501.7629605703783,3.129408955440932e+66,3,4.0
24,RegressaoLinear,{},2639.1511062542304,3.482559280821463e+66,4,4.0
